ProductName,Description,Price_LKR
Samsung Galaxy S21,"6.2 inch, 128GB storage, 12MP Camera",190000
Apple iPhone 13,"6.1 inch, 128GB storage, 12MP Camera",250000
Dell Inspiron Laptop,"15.6 inch, 8GB RAM, 512GB SSD",160000
Sony WH-1000XM4 Headphones,"Over-ear, Wireless, Noise-cancelling",75000
Apple Watch Series 7,"GPS, 44mm, Blood Oxygen App",120000
Sony 55 inch 4K TV,"Ultra HD, Smart TV, Google Assistant",220000
Nikon D3500 DSLR,"24.2MP, 5fps continuous shooting",175000
Amazon Kindle Paperwhite,"8GB, Waterproof, 300ppi",40000
Apple iPad Air,"10.9 inch, 64GB storage, Wi-Fi",135000
Logitech G Pro Mouse,"Wired, 25K DPI, RGB",25000
Samsung Galaxy S21 Variant 1,"6.2 inch, 128GB storage, 12MP Camera",191000
Apple iPhone 13 Variant 1,"6.1 inch, 128GB storage, 12MP Camera",251000
Dell Inspiron Laptop Variant 1,"15.6 inch, 8GB RAM, 512GB SSD",161000
Sony WH-1000XM4 Headphones Variant 1,"Over-ear, Wireless, Noise-cancelling",76000
Apple Watch Series 7 Variant 1,"GPS, 44mm, Blood Oxygen App",121000
Sony 55 inch 4K TV Variant 1,"Ultra HD, Smart TV, Google Assistant",221000
Nikon D3500 DSLR Variant 1,"24.2MP, 5fps continuous shooting",176000
Amazon Kindle Paperwhite Variant 1,"8GB, Waterproof, 300ppi",41000
Apple iPad Air Variant 1,"10.9 inch, 64GB storage, Wi-Fi",136000
Logitech G Pro Mouse Variant 1,"Wired, 25K DPI, RGB",26000
Samsung Galaxy S21 Variant 2,"6.2 inch, 128GB storage, 12MP Camera",192000
Apple iPhone 13 Variant 2,"6.1 inch, 128GB storage, 12MP Camera",252000
Dell Inspiron Laptop Variant 2,"15.6 inch, 8GB RAM, 512GB SSD",162000
Sony WH-1000XM4 Headphones Variant 2,"Over-ear, Wireless, Noise-cancelling",77000
Apple Watch Series 7 Variant 2,"GPS, 44mm, Blood Oxygen App",122000
Sony 55 inch 4K TV Variant 2,"Ultra HD, Smart TV, Google Assistant",222000
Nikon D3500 DSLR Variant 2,"24.2MP, 5fps continuous shooting",177000
Amazon Kindle Paperwhite Variant 2,"8GB, Waterproof, 300ppi",42000
Apple iPad Air Variant 2,"10.9 inch, 64GB storage, Wi-Fi",137000
Logitech G Pro Mouse Variant 2,"Wired, 25K DPI, RGB",27000
Samsung Galaxy S21 Variant 3,"6.2 inch, 128GB storage, 12MP Camera",193000
Apple iPhone 13 Variant 3,"6.1 inch, 128GB storage, 12MP Camera",253000
Dell Inspiron Laptop Variant 3,"15.6 inch, 8GB RAM, 512GB SSD",163000
Sony WH-1000XM4 Headphones Variant 3,"Over-ear, Wireless, Noise-cancelling",78000
Apple Watch Series 7 Variant 3,"GPS, 44mm, Blood Oxygen App",123000
Sony 55 inch 4K TV Variant 3,"Ultra HD, Smart TV, Google Assistant",223000
Nikon D3500 DSLR Variant 3,"24.2MP, 5fps continuous shooting",178000
Amazon Kindle Paperwhite Variant 3,"8GB, Waterproof, 300ppi",43000
Apple iPad Air Variant 3,"10.9 inch, 64GB storage, Wi-Fi",138000
Logitech G Pro Mouse Variant 3,"Wired, 25K DPI, RGB",28000
Samsung Galaxy S21 Variant 4,"6.2 inch, 128GB storage, 12MP Camera",194000
Apple iPhone 13 Variant 4,"6.1 inch, 128GB storage, 12MP Camera",254000
Dell Inspiron Laptop Variant 4,"15.6 inch, 8GB RAM, 512GB SSD",164000
Sony WH-1000XM4 Headphones Variant 4,"Over-ear, Wireless, Noise-cancelling",79000
Apple Watch Series 7 Variant 4,"GPS, 44mm, Blood Oxygen App",124000
Sony 55 inch 4K TV Variant 4,"Ultra HD, Smart TV, Google Assistant",224000
Nikon D3500 DSLR Variant 4,"24.2MP, 5fps continuous shooting",179000
Amazon Kindle Paperwhite Variant 4,"8GB, Waterproof, 300ppi",44000
Apple iPad Air Variant 4,"10.9 inch, 64GB storage, Wi-Fi",139000
Logitech G Pro Mouse Variant 4,"Wired, 25K DPI, RGB",29000
Samsung Galaxy S21 Variant 5,"6.2 inch, 128GB storage, 12MP Camera",195000
Apple iPhone 13 Variant 5,"6.1 inch, 128GB storage, 12MP Camera",255000
Dell Inspiron Laptop Variant 5,"15.6 inch, 8GB RAM, 512GB SSD",165000
Sony WH-1000XM4 Headphones Variant 5,"Over-ear, Wireless, Noise-cancelling",80000
Apple Watch Series 7 Variant 5,"GPS, 44mm, Blood Oxygen App",125000
Sony 55 inch 4K TV Variant 5,"Ultra HD, Smart TV, Google Assistant",225000
Nikon D3500 DSLR Variant 5,"24.2MP, 5fps continuous shooting",180000
Amazon Kindle Paperwhite Variant 5,"8GB, Waterproof, 300ppi",45000
Apple iPad Air Variant 5,"10.9 inch, 64GB storage, Wi-Fi",140000
Logitech G Pro Mouse Variant 5,"Wired, 25K DPI, RGB",30000
Samsung Galaxy S21 Variant 6,"6.2 inch, 128GB storage, 12MP Camera",196000
Apple iPhone 13 Variant 6,"6.1 inch, 128GB storage, 12MP Camera",256000
Dell Inspiron Laptop Variant 6,"15.6 inch, 8GB RAM, 512GB SSD",166000
Sony WH-1000XM4 Headphones Variant 6,"Over-ear, Wireless, Noise-cancelling",81000
Apple Watch Series 7 Variant 6,"GPS, 44mm, Blood Oxygen App",126000
Sony 55 inch 4K TV Variant 6,"Ultra HD, Smart TV, Google Assistant",226000
Nikon D3500 DSLR Variant 6,"24.2MP, 5fps continuous shooting",181000
Amazon Kindle Paperwhite Variant 6,"8GB, Waterproof, 300ppi",46000
Apple iPad Air Variant 6,"10.9 inch, 64GB storage, Wi-Fi",141000
Logitech G Pro Mouse Variant 6,"Wired, 25K DPI, RGB",31000
Samsung Galaxy S21 Variant 7,"6.2 inch, 128GB storage, 12MP Camera",197000
Apple iPhone 13 Variant 7,"6.1 inch, 128GB storage, 12MP Camera",257000
Dell Inspiron Laptop Variant 7,"15.6 inch, 8GB RAM, 512GB SSD",167000
Sony WH-1000XM4 Headphones Variant 7,"Over-ear, Wireless, Noise-cancelling",82000
Apple Watch Series 7 Variant 7,"GPS, 44mm, Blood Oxygen App",127000
Sony 55 inch 4K TV Variant 7,"Ultra HD, Smart TV, Google Assistant",227000
Nikon D3500 DSLR Variant 7,"24.2MP, 5fps continuous shooting",182000
Amazon Kindle Paperwhite Variant 7,"8GB, Waterproof, 300ppi",47000
Apple iPad Air Variant 7,"10.9 inch, 64GB storage, Wi-Fi",142000
Logitech G Pro Mouse Variant 7,"Wired, 25K DPI, RGB",32000
Samsung Galaxy S21 Variant 8,"6.2 inch, 128GB storage, 12MP Camera",198000
Apple iPhone 13 Variant 8,"6.1 inch, 128GB storage, 12MP Camera",258000
Dell Inspiron Laptop Variant 8,"15.6 inch, 8GB RAM, 512GB SSD",168000
Sony WH-1000XM4 Headphones Variant 8,"Over-ear, Wireless, Noise-cancelling",83000
Apple Watch Series 7 Variant 8,"GPS, 44mm, Blood Oxygen App",128000
Sony 55 inch 4K TV Variant 8,"Ultra HD, Smart TV, Google Assistant",228000
Nikon D3500 DSLR Variant 8,"24.2MP, 5fps continuous shooting",183000
Amazon Kindle Paperwhite Variant 8,"8GB, Waterproof, 300ppi",48000
Apple iPad Air Variant 8,"10.9 inch, 64GB storage, Wi-Fi",143000
Logitech G Pro Mouse Variant 8,"Wired, 25K DPI, RGB",33000
Samsung Galaxy S21 Variant 9,"6.2 inch, 128GB storage, 12MP Camera",199000
Apple iPhone 13 Variant 9,"6.1 inch, 128GB storage, 12MP Camera",259000
Dell Inspiron Laptop Variant 9,"15.6 inch, 8GB RAM, 512GB SSD",169000
Sony WH-1000XM4 Headphones Variant 9,"Over-ear, Wireless, Noise-cancelling",84000
Apple Watch Series 7 Variant 9,"GPS, 44mm, Blood Oxygen App",129000
Sony 55 inch 4K TV Variant 9,"Ultra HD, Smart TV, Google Assistant",229000
Nikon D3500 DSLR Variant 9,"24.2MP, 5fps continuous shooting",184000
Amazon Kindle Paperwhite Variant 9,"8GB, Waterproof, 300ppi",49000
Apple iPad Air Variant 9,"10.9 inch, 64GB storage, Wi-Fi",144000
Logitech G Pro Mouse Variant 9,"Wired, 25K DPI, RGB",34000
